일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-07 00:00:00,전라남도,31.34,27.93,25.61,24.23,96.42,0,2021,7
2021-07-07 00:00:00,경상북도,29.09,26.15,23.62,21.73,94.04,0,2021,7
2021-07-07 00:00:00,경상남도,30.26,27.01,24.29,22.24,95.88,0,2021,7
2021-07-07 00:00:00,제주특별자치도,33.5,32.1,28.8,25.9,78.9,0,2021,7
2021-07-08 00:00:00,서울특별시,31.5,29.8,26,23.8,81.6,1,2021,7
2021-07-08 00:00:00,부산광역시,30.4,27.7,23.7,21.6,92.3,0,2021,7
2021-07-08 00:00:00,대구광역시,31.05,29.5,24.65,21.85,85.05,0,2021,7
2021-07-08 00:00:00,인천광역시,28.2,26.6,24.3,22.8,78.8,1,2021,7
2021-07-08 00:00:00,광주광역시,33.2,29.8,25.6,23.3,96.9,0,2021,7
2021-07-08 00:00:00,대전광역시,32.4,30.7,26.4,22.7,84.8,0,2021,7
2021-07-08 00:00:00,울산광역시,30.1,27.1,23.2,21.8,96.1,0,2021,7
2021-07-08 00:00:00,세종특별자치시,32.1,31.1,25.4,22,80.5,0,2021,7
2021-07-08 00:00:00,경기도,32.03,30.89,25.36,22.5,84.35,2,2021,7
2021-07-08 00:00:00,강원도,30.96,29.57,24.41,21.32,85.41,0,2021,7
2021-07-08 00:00:00,충청북도,31.6,30.49,25.32,22.04,83.24,0,2021,7
2021-07-08 00:00:00,충청남도,31.15,29.24,24.73,22.07,87.93,0,2021,7
2021-07-08 00:00:00,전라북도,30.25,27.86,24.37,22.21,91.53,1,2021,7
2021-07-08 00:00:00,전라남도,31.67,28.89,25.48,23.61,93.67,2,2021,7
2021-07-08 00:00:00,경상북도,29.8,27.72,23.9,21.39,88.5,0,2021,7
2021-07-08 00:00:00,경상남도,31.48,28.94,25.07,22.27,91.98,0,2021,7
2021-07-08 00:00:00,제주특별자치도,33.1,32,27.8,26.4,81,0,2021,7
2021-07-09 00:00:00,서울특별시,30.6,29.2,25.5,23.6,77.3,0,2021,7
2021-07-09 00:00:00,부산광역시,30.5,28.1,24.4,22.2,90.6,0,2021,7
2021-07-09 00:00:00,대구광역시,31.1,29.6,24.6,21.85,87.5,0,2021,7
2021-07-09 00:00:00,인천광역시,28.2,27.3,24.4,22.9,71.3,2,2021,7
2021-07-09 00:00:00,광주광역시,32.5,30.2,25.8,23.5,94.4,0,2021,7
2021-07-09 00:00:00,대전광역시,31.9,30.4,26.2,23.1,83,0,2021,7
2021-07-09 00:00:00,울산광역시,28.5,25,22.8,21.8,97.8,0,2021,7
2021-07-09 00:00:00,세종특별자치시,31,29.8,25.1,22.3,79.6,0,2021,7
2021-07-09 00:00:00,경기도,30.54,29.2,24.78,21.8,81.03,1,2021,7
